Tweet,Class
مبروك و سامحونا لعجزنا التام. عقبال اللي جوه. اللي بره يا عاجز يا بيزايد على العاجز,0
كلنا بره ومش هنبطل نزايد على العجايز الي جابونا ورى,-1
بدل ما انت قاعد بره كده تعالي ازرع الصحرا,0
قذر اتفووو ماتيجى مصر وتورينا نفسك كدا ياجبان,-1
وهكذا رجال الشو اللي محرومين من عمل برنامج الغريبة انهم بيقولوا المطبليتة وهم كلهم مطبلتية ايضا,-1
أنت أزاي لبؤة كدة ؟ ,-2
دول عبيد باسم !! انت ما تعرفش غير ستات كده يعني اتربيت في وسطهم ففاكر الكل كده ده غير ان ضعيف الشخصية والحجة بيشتم,-1
علشان مش عارف يرد يقوم يشتم وبعدين اللي قريته في حسابك لازم تتعالج الحق نفسك ,-1
انت قمر,0
كلنا بره ومش هنبطل نزايد على العجايز الي جابونا ورى,0
أو اكتشف إن النضال مش سهل وفيه تهديدات وابتزاز,0
الحرية حق و ليست منحة يمنحها من لا يملك لمن يستحق.,0
اهم حاجة صحفي الجزيرة يتصوروا عا الاسفلت قبل الوصول لنيويورك بتكتب يا احمد؟,0
ماشي بس يخرجو وبعدين يحلها ربنا في الظلم,0
يعني يسيبهم في السجن ؟! انت مش عاجبك العجب ! 😀,0
كما قال الدكتور مرسي بالضبط الحرية مسؤلية و الشرمطة مرمطة,-2
عيد مبارك باسم .. اشتقنا الى رؤياك لازلنا نتذكر طلتك ع مسرح امتلأ بالسخريه الضحكات تلاشت الا انها تركت اثرا على وجوهنا,0
فعلا حرية سرقة المقالات حرية الفاظك القبيحه مثلا حرية حرق المجمع العلمي حرية التمويل الاجنبي اللي علمك حريه مابيطبقهاش,-1
انتي بتقولي ايه يا مروه ده كلام زي الرصاص في جتت زي النحاس وبعدين مبيقولش حرف ليه ع البوب حبيبه,0
الطف حاجة ان حضرتك والى زيك ناسين ان السيسي سافر والناس دى محبوسة بس ياحرام نظرية الموامرة خرمت دماغكم,0
"الحمد لله انها خرمت دماغنا، وانت عاملة ايه من تحت؟ :)",0
روح شوفلك حد يربيك. حثالة بشر,-1
كأهلاوي طبعا نفسي الأهلي يكسب. بس مش عاجباني الثقة الزائدة بعد اخر ماتش. مافيش حاجة مضمونة يا جدعان,0
كم سار لك ما جبت الدوري؟ خلاص لا تبكي!  نعطيكم فهد المولد وتعطونا السومه,0
 يتكلم عن الاهلي المصري يالطيب,0
